"","cond","auto","use1","use2","use3","use4","value1","value2","value3","value4","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID","ss","reverseCode_use4","use","value"
"1","dless",5,87,41,56,68,65,69,59,40000,1,"",2,NA,22,2,"",2,59,NA,1,32,54,64.3333333333333
"3","dless",6,100,100,80,75,85,100,60,40000,1,"",3,NA,34,4,"",1,75,NA,2,25,76.25,81.6666666666667
"4","co",4,39,40,30,72,38,0,63,45000,2,"",3,NA,38,3,"",1,72,NA,3,28,34.25,33.6666666666667
"6","auto",4,39,37,51,64,51,56,23,35000,2,"",3,NA,25,4,"",1,58,NA,4,36,40.75,43.3333333333333
"7","co",6,71,70,81,40,77,80,61,60000,1,"",3,NA,39,1,"",1,4,NA,5,60,70.5,72.6666666666667
"11","dless",4,65,60,60,70,75,40,80,1e+05,2,"",3,NA,21,3,"",2,30,NA,6,30,53.75,65
"14","auto",4,65,75,66,70,59,75,66,40000,2,"",4,NA,20,1,"",1,40,NA,7,30,59,66.6666666666667
"15","co",4,58,68,39,73,69,64,98,40000,2,"",2,NA,22,3,"",1,36,NA,8,27,48,77
"16","dless",6,43,70,42,71,73,51,51,96000,1,"",4,NA,34,5,"",1,30,NA,9,29,46,58.3333333333333
"17","co",4,70,70,71,70,60,70,29,48000,2,"",3,NA,51,1,"",1,30,NA,10,30,60.25,53
"18","auto",5,62,61,21,78,74,61,90,67000,2,"",2,NA,21,4,"",1,65,NA,11,22,41.5,75
"19","dless",5,63,69,64,56,78,39,62,50000,2,"",3,NA,38,3,"",1,42,NA,12,44,60,59.6666666666667
"20","auto",5,60,70,70,90,80,100,80,1e+05,2,"",3,NA,38,4,"",1,16,NA,13,10,52.5,86.6666666666667
"22","auto",6,90,80,70,40,50,75,60,80000,2,"",3,NA,22,3,"",1,20,NA,14,60,75,61.6666666666667
"24","co",4,60,61,60,40,80,90,80,70000,1,"",2,NA,19,3,"",1,50,NA,15,60,60.25,83.3333333333333
"25","dless",5,80,83,80,60,80,80,50,35000,1,"",3,NA,26,1,"",1,11,NA,16,40,70.75,70
"26","co",5,80,65,71,26,87,86,90,65000,2,"",2,NA,24,4,"",1,46,NA,17,74,72.5,87.6666666666667
"27","auto",6,51,51,91,9,51,85,84,60000,1,"",1,NA,29,3,"",1,7,NA,18,91,71,73.3333333333333
"28","co",4,92,83,90,27,75,84,61,60000,1,"",3,NA,19,3,"",1,73,NA,19,73,84.5,73.3333333333333
"29","auto",4,60,70,85,15,55,0,50,50000,1,"",3,NA,43,5,"",1,70,NA,20,85,75,35
"30","co",2,30,50,30,50,50,0,70,60000,2,"",3,NA,44,1,"",1,10,NA,21,50,40,40
"31","co",4,84,70,60,34,78,91,88,50000,2,"",4,NA,21,3,"",2,38,NA,22,66,70,85.6666666666667
"32","co",4,53,58,44,62,56,26,50,50000,1,"",3,NA,24,8,"No diploma ",1,13,NA,23,38,48.25,44
"34","auto",6,66,80,60,81,70,10,30,50000,2,"",3,NA,31,5,"",1,14,NA,24,19,56.25,36.6666666666667
"35","co",4,80,90,90,40,85,85,80,65000,1,"",2,NA,31,4,"",1,70,NA,25,60,80,83.3333333333333
"36","dless",5,34,32,70,58,71,89,79,52000,1,"",3,NA,45,4,"",1,69,NA,26,42,44.5,79.6666666666667
"38","auto",6,29,52,82,51,70,79,61,40000,1,"",2,NA,46,5,"",1,28,NA,27,49,53,70
"40","auto",6,50,50,50,50,50,60,60,65000,2,"",3,NA,59,5,"",1,20,NA,28,50,50,56.6666666666667
"41","co",4,70,70,67,38,67,63,68,70000,1,"",3,NA,24,4,"",1,51,NA,29,62,67.25,66
"42","dless",5,50,40,50,80,50,20,20,70000,1,"",5,NA,19,3,"",1,70,NA,30,20,40,30
"43","dless",6,20,17,15,15,18,24,52,68000,2,"",3,NA,29,4,"",1,54,NA,31,85,34.25,31.3333333333333
"44","auto",6,51,51,51,71,51,0,18,48000,1,"",3,NA,49,5,"",1,51,NA,32,29,45.5,23
"45","dless",6,90,90,70,30,91,82,69,85000,1,"",3,NA,37,1,"",1,10,NA,33,70,80,80.6666666666667
"46","co",4,72,61,66,45,60,67,65,48000,2,"",4,NA,23,3,"",1,45,NA,34,55,63.5,64
"48","auto",6,80,80,90,30,80,100,0,50000,1,"",3,NA,37,1,"",1,70,NA,35,70,80,60
"49","auto",6,78,74,85,65,73,63,45,60000,2,"",4,NA,19,1,"",1,72,NA,36,35,68,60.3333333333333
"50","co",4,77,61,66,34,76,61,50,55000,2,"",3,NA,30,4,"",1,69,NA,37,66,67.5,62.3333333333333
"55","auto",4,75,65,60,60,65,81,51,50000,3,"",3,NA,24,4,"",1,50,NA,38,40,60,65.6666666666667
"56","dless",3,40,40,40,80,30,50,0,70000,2,"",3,NA,56,4,"",1,10,NA,39,20,35,26.6666666666667
"58","co",5,43,62,53,62,60,32,36,55000,1,"",3,NA,26,4,"",1,17,NA,40,38,49,42.6666666666667
"59","co",2,75,61,71,51,50,50,30,50000,2,"",3,NA,46,4,"",1,70,NA,41,49,64,43.3333333333333
"60","co",4,88,66,75,29,79,84,63,55000,1,"",3,NA,47,2,"",1,69,NA,42,71,75,75.3333333333333
"61","auto",4,59,75,60,65,50,64,50,48000,2,"",3,NA,23,4,"",1,38,NA,43,35,57.25,54.6666666666667
"63","dless",4,39,51,51,40,51,60,12,40000,2,"",3,NA,30,4,"",1,12,NA,44,60,50.25,41
"64","co",4,81,71,75,55,75,90,60,55000,2,"",2,NA,31,5,"",1,25,NA,45,45,68,75
"65","co",2,60,70,70,80,61,81,68,50000,1,"",3,NA,27,5,"",1,0,NA,46,20,55,70
"66","dless",5,45,65,65,65,70,65,84,54000,1,"",4,NA,32,2,"",1,67,NA,47,35,52.5,73
"67","auto",5,50,70,40,90,70,60,55,50000,2,"",4,NA,63,4,"",1,54,NA,48,10,42.5,61.6666666666667
"68","co",5,76,77,75,34,71,92,82,70000,2,"",3,NA,34,4,"",1,50,NA,49,66,73.5,81.6666666666667
"69","dless",5,40,20,8,70,54,90,50,70000,2,"",2,NA,23,5,"",1,9,NA,50,30,24.5,64.6666666666667
"70","dless",6,91,20,17,74,71,3,8,70000,1,"",5,NA,21,1,"",2,49,NA,51,26,38.5,27.3333333333333
"71","co",5,69,76,49,76,65,51,26,50000,1,"",3,NA,31,4,"",1,49,NA,52,24,54.5,47.3333333333333
"72","auto",6,62,60,63,51,53,51,50,50000,2,"",3,NA,24,4,"",1,33,NA,53,49,58.5,51.3333333333333
"73","dless",6,61,35,69,54,74,64,52,55000,2,"",3,NA,38,5,"",1,21,NA,54,46,52.75,63.3333333333333
"74","dless",6,35,40,25,85,50,1,0,80000,2,"",3,NA,24,1,"",1,30,NA,55,15,28.75,17
"76","co",5,37,51,54,62,40,32,35,10000,2,"",3,NA,64,3,"",1,18,NA,56,38,45,35.6666666666667
"77","auto",5,30,40,30,71,40,13,0,35000,1,"",3,NA,59,1,"",1,30,NA,57,29,32.25,17.6666666666667
"78","dless",5,78,80,77,85,75,83,60,84000,1,"",2,NA,25,3,"",1,80,NA,58,15,62.5,72.6666666666667
"79","auto",4,71,51,51,51,51,70,51,75000,2,"",1,NA,42,3,"",1,51,NA,59,49,55.5,57.3333333333333
"82","co",4,71,58,73,62,77,59,75,20000,2,"",3,NA,23,2,"",2,38,NA,61,38,60,70.3333333333333
"83","co",5,80,72,71,40,84,75,57,50000,1,"",3,NA,26,7,"",1,32,NA,62,60,70.75,72
"84","dless",5,31,38,80,91,40,40,20,55000,2,"",3,NA,72,4,"",1,60,NA,63,9,39.5,33.3333333333333
"86","auto",6,42,44,35,100,100,100,100,50000,1,"",4,NA,27,3,"",1,36,NA,64,0,30.25,100
"87","dless",5,71,70,50,70,70,79,77,55000,1,"",2,NA,24,4,"",1,40,NA,65,30,55.25,75.3333333333333
"88","dless",6,40,60,60,70,80,85,65,60000,1,"",3,NA,25,5,"",1,75,NA,66,30,47.5,76.6666666666667
"89","auto",6,46,81,36,25,75,69,82,55000,2,"",3,NA,27,3,"",1,57,NA,67,75,59.5,75.3333333333333
"90","co",2,80,80,35,75,75,85,70,40000,1,"",3,NA,28,1,"",1,60,NA,68,25,55,76.6666666666667
"91","auto",5,91,70,81,50,70,93,61,50000,2,"",3,NA,53,1,"",1,66,NA,69,50,73,74.6666666666667
"92","co",4,54,56,50,41,76,66,0,60000,2,"",1,NA,35,3,"",1,0,NA,70,59,54.75,47.3333333333333
"93","dless",6,86,30,66,59,88,100,81,75000,1,"",3,NA,33,4,"",1,43,NA,71,41,55.75,89.6666666666667
"96","co",2,65,90,80,25,70,90,60,45000,1,"",3,NA,39,4,"",1,60,NA,72,75,77.5,73.3333333333333
"97","dless",5,75,72,75,37,94,88,82,58000,2,"",3,NA,20,2,"",1,66,NA,73,63,71.25,88
"98","co",4,70,71,71,33,88,76,81,70000,2,"",3,NA,31,1,"",1,30,NA,74,67,69.75,81.6666666666667
"100","dless",6,45,43,56,51,28,9,5,55000,2,"",3,NA,45,1,"",2,27,NA,75,49,48.25,14
"101","dless",5,80,95,80,30,70,50,70,60000,1,"",1,NA,24,1,"",1,70,NA,76,70,81.25,63.3333333333333
"102","co",4,50,70,70,40,50,60,50,55000,1,"",3,NA,33,4,"",1,20,NA,77,60,62.5,53.3333333333333
"103","dless",6,93,83,71,85,74,63,67,80000,1,"",4,NA,24,4,"",1,14,NA,78,15,65.5,68
"104","auto",3,60,40,40,70,50,65,70,60000,1,"",3,NA,45,2,"",1,65,NA,79,30,42.5,61.6666666666667
"105","auto",5,30,35,15,75,61,15,46,58000,2,"",3,NA,27,5,"",1,10,NA,80,25,26.25,40.6666666666667
"106","co",2,50,70,50,30,55,60,50,52000,1,"",5,NA,26,8,"Less than Highschool",2,60,NA,81,70,60,55
"107","auto",6,50,50,60,60,50,10,0,40000,1,"",4,NA,57,4,"",1,10,NA,82,40,50,20
"110","dless",4,39,40,37,70,50,11,32,55000,2,"",1,NA,22,4,"",1,25,NA,83,30,36.5,31
"111","co",4,82,78,76,28,62,80,72,55000,1,"",3,NA,33,1,"",1,39,NA,84,72,77,71.3333333333333
"112","auto",6,40,20,25,80,35,30,15,52000,2,"",3,NA,27,4,"",1,40,NA,85,20,26.25,26.6666666666667
"113","auto",5,60,71,69,51,75,63,62,25000,2,"",3,NA,49,3,"",1,74,NA,86,49,62.25,66.6666666666667
"115","auto",4,74,79,82,77,84,79,76,57000,1,"",4,NA,37,6,"",1,71,NA,87,23,64.5,79.6666666666667
"116","co",5,85,100,78,52,82,79,49,40000,2,"",3,NA,39,2,"",1,20,NA,88,48,77.75,70
"118","auto",5,45,69,42,54,71,61,61,55000,1,"",3,NA,61,4,"",1,40,NA,89,46,50.5,64.3333333333333
"119","dless",5,96,95,95,15,97,95,65,55000,2,"",3,NA,33,3,"",1,17,NA,90,85,92.75,85.6666666666667
"121","dless",6,51,70,70,51,66,35,56,80000,2,"",5,NA,22,3,"",1,10,NA,91,49,60,52.3333333333333
"122","auto",5,70,70,55,100,51,80,60,50000,1,"",2,NA,23,3,"",1,10,NA,92,0,48.75,63.6666666666667
"123","dless",6,70,61,27,64,85,91,71,51000,1,"",3,NA,45,3,"",1,60,NA,93,36,48.5,82.3333333333333
"124","co",4,60,65,45,51,55,60,55,62000,1,"",3,NA,22,1,"",1,35,NA,94,49,54.75,56.6666666666667
"125","dless",6,70,42,92,30,64,25,62,60000,1,"",3,NA,33,4,"",1,70,NA,95,70,68.5,50.3333333333333
"126","co",5,75,50,61,20,50,5,60,55000,2,"",3,NA,39,3,"",2,25,NA,96,80,66.5,38.3333333333333
"127","auto",5,45,37,38,41,60,70,50,75000,1,"",3,NA,38,5,"",1,10,NA,97,59,44.75,60
"130","auto",6,100,100,100,100,100,100,100,50000,2,"",3,NA,32,2,"",1,15,NA,99,0,75,100
"131","dless",6,35,71,85,23,95,85,75,60000,2,"",4,NA,34,3,"",2,63,NA,100,77,67,85
"132","co",2,39,20,33,72,10,0,0,50000,2,"",3,NA,47,4,"",1,40,NA,101,28,30,3.33333333333333
"133","co",4,100,100,100,2,100,100,100,50000,2,"",5,NA,32,4,"",1,73,NA,102,98,99.5,100
"135","dless",4,51,60,62,62,73,75,73,90000,2,"",3,NA,43,3,"",1,51,NA,104,38,52.75,73.6666666666667
"136","auto",4,40,65,60,70,75,80,60,35000,1,"",3,NA,39,5,"",1,30,NA,105,30,48.75,71.6666666666667
"137","dless",6,34,42,40,74,50,8,62,78000,2,"",3,NA,46,5,"",1,30,NA,106,26,35.5,40
"138","co",3,87,91,86,19,83,86,86,50000,2,"",3,NA,29,4,"",1,40,NA,107,81,86.25,85
"139","auto",6,75,80,60,45,60,80,65,65000,1,"",2,NA,19,1,"",1,30,NA,108,55,67.5,68.3333333333333
"140","co",6,41,51,35,48,50,61,53,70000,1,"",3,NA,30,4,"",1,49,NA,109,52,44.75,54.6666666666667
"141","dless",4,64,66,80,61,60,55,57,50000,1,"",3,NA,31,4,"",1,24,NA,110,39,62.25,57.3333333333333
"142","auto",5,81,81,81,19,92,71,91,50000,2,"",1,NA,72,3,"",2,40,NA,111,81,81,84.6666666666667
"143","auto",4,83,82,67,71,62,73,72,55000,1,"",3,NA,36,1,"",1,66,NA,112,29,65.25,69
"144","auto",2,65,76,71,44,56,67,69,52000,1,"",3,NA,35,5,"",1,40,NA,113,56,67,64
"145","dless",6,60,85,60,45,80,80,60,60000,4,"Non Binary",5,NA,31,2,"",1,40,NA,114,55,65,73.3333333333333
"147","co",5,27,57,24,58,80,81,86,96000,2,"",3,NA,21,4,"",1,9,NA,115,42,37.5,82.3333333333333
"149","auto",6,84,34,70,66,72,59,30,65000,1,"",3,NA,46,1,"",1,28,NA,116,34,55.5,53.6666666666667
"150","dless",6,70,30,50,70,75,70,60,48000,1,"",3,NA,62,3,"",1,50,NA,117,30,45,68.3333333333333
