"","cond","automation","software responsibility","human responsibility","firm liability","human liability","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","ss"
"1",1,4,92,41,91,40,2,"",2,"",23,4,"",1,0,1
"3",1,2,60,50,60,50,1,"",3,"",27,3,"",1,60,2
"10",1,2,80,85,90,80,1,"",6,"Pacific Islander",23,3,"",1,40,3
"11",1,4,90,65,90,50,2,"",2,"",34,6,"",1,20,4
"13",2,4,39,88,63,77,2,"",4,"",32,4,"",1,50,5
"14",1,4,80,50,60,40,2,"",3,"",22,4,"",1,50,6
"16",2,4,80,70,85,80,2,"",2,"",22,5,"",1,30,7
"21",2,2,100,100,100,100,1,"",3,"",27,3,"",1,0,8
"22",2,1,76,36,75,27,1,"",3,"",44,3,"",1,68,9
"24",1,5,75,30,75,31,2,"",2,"",23,4,"",1,15,10
"31",1,4,70,75,84,70,2,"",3,"",25,4,"",1,38,11
"34",1,6,100,65,80,70,2,"",3,"",31,1,"",1,10,12
"36",1,4,95,10,49,51,1,"",3,"",24,4,"",1,15,13
"41",2,5,88,26,76,54,1,"",3,"",35,4,"",1,56,14
"42",1,6,50,50,50,50,3,"",7,"",50,4,"",1,20,15
"46",1,5,100,100,90,100,2,"",3,"",58,3,"",1,20,16
"47",2,6,68,30,74,30,2,"",1,"",31,3,"",1,51,17
"48",1,4,63,79,59,92,1,"",3,"",18,1,"",2,65,18
"52",1,3,80,100,80,100,1,"",3,"",41,4,"",1,10,19
"55",2,2,69,100,75,100,1,"",4,"",33,4,"",1,27,20
"57",2,4,98,91,100,88,1,"",3,"",37,7,"",1,39,21
"60",1,5,96,42,91,26,1,"",3,"",19,3,"",1,63,22
"63",2,4,12,100,3,100,1,"",4,"",22,3,"",1,81,23
"66",2,5,60,80,60,80,2,"",5,"",31,5,"",1,60,24
"68",1,5,22,100,21,100,2,"",3,"",43,4,"",1,18,25
"70",1,4,72,72,55,83,1,"",3,"",32,3,"",2,66,26
"74",2,5,20,80,19,95,2,"",3,"",34,4,"",1,39,27
"75",2,4,85,50,80,50,1,"",2,"",29,3,"",1,10,28
"77",1,4,45,55,20,75,1,"",3,"",33,2,"",1,65,29
"81",1,4,55,100,55,95,2,"",3,"",50,2,"",1,60,30
"82",2,4,30,70,30,70,1,"",3,"",35,4,"",1,50,31
"83",1,5,71,83,99,93,2,"",7,"",34,4,"",1,19,32
"85",1,3,80,80,100,65,1,"",3,"",36,3,"",1,60,33
"88",1,6,92,10,98,4,2,"",1,"",32,1,"",2,27,34
"89",1,5,71,61,70,39,1,"",2,"",19,3,"",1,70,35
"90",2,4,90,100,60,90,1,"",3,"",26,4,"",1,61,36
"91",2,4,20,100,50,100,1,"",3,"",41,4,"",1,10,37
"92",1,3,56,85,55,85,1,"",3,"",24,3,"",1,40,38
"95",2,5,91,83,92,81,1,"",5,"",49,4,"",1,36,39
"97",1,3,64,65,69,70,4,"Nonbinary, genderfluid, transgender, demiwoman",6,"Multiracial/Mixed",34,4,"",2,75,40
"99",1,5,75,95,75,95,1,"",3,"",33,4,"",1,70,41
"100",1,5,90,85,100,70,1,"",3,"",38,4,"",1,41,42
"103",1,6,30,84,30,83,1,"",3,"",65,5,"",1,61,43
"104",1,4,70,100,70,100,2,"",3,"",39,5,"",1,50,44
"105",1,2,49,75,50,50,2,"",3,"",39,5,"",1,10,45
"106",2,3,31,96,24,95,1,"",3,"",39,4,"",1,51,46
"109",1,2,65,81,77,76,1,"",3,"",38,4,"",2,55,47
"110",2,4,10,100,15,90,1,"",3,"",38,4,"",2,30,48
"111",1,5,70,80,60,75,1,"",3,"",22,4,"",1,10,49
"112",1,4,65,40,55,60,1,"",3,"",20,3,"",1,65,50
"113",2,3,17,79,19,72,2,"",3,"",48,5,"",1,55,51
"115",2,4,80,60,70,60,1,"",3,"",36,1,"",1,30,52
"116",1,5,80,80,80,80,1,"",4,"",34,3,"",2,0,53
"117",2,4,10,95,5,100,1,"",3,"",41,2,"",1,20,54
"119",2,5,50,50,50,100,1,"",3,"",38,4,"",1,15,55
"124",1,4,45,85,25,90,1,"",2,"",36,3,"",1,75,56
"126",2,3,31,70,74,70,2,"",1,"",43,4,"",1,5,57
"127",1,6,90,20,90,20,2,"",3,"",57,4,"",1,16,58
"129",1,6,70,90,90,90,1,"",3,"",40,3,"",1,51,59
"130",1,3,90,55,86,50,2,"",4,"",27,4,"",1,25,60
"133",2,3,20,80,20,80,4,"genderfluid",3,"",45,3,"",1,79,61
"136",2,3,30,70,20,75,2,"",3,"",54,3,"",1,30,62
"137",1,6,0,91,10,100,1,"",1,"",35,4,"",1,71,63
"140",2,3,100,80,100,10,2,"",5,"",28,3,"",1,30,64
"142",1,3,25,75,0,100,1,"",2,"",36,4,"",1,60,65
"144",2,3,0,100,0,100,2,"",3,"",54,3,"",1,1,66
"145",1,6,90,75,100,75,1,"",3,"",38,5,"",1,60,67
"149",2,4,83,29,86,33,2,"",3,"",24,1,"",1,30,68
"156",2,2,80,80,92,92,1,"",3,"",29,4,"",1,40,69
"157",1,3,60,60,60,60,1,"",3,"",35,4,"",1,32,70
"159",2,2,75,75,100,100,1,"",3,"",34,1,"",2,20,71
"160",2,6,100,100,100,100,2,"",3,"",51,3,"",1,60,72
"161",1,6,100,0,100,8,2,"",3,"",52,2,"",1,80,73
"162",2,5,90,90,100,100,1,"",3,"",35,1,"",2,70,74
"165",1,4,81,61,82,51,2,"",3,"",36,4,"",1,40,75
"169",1,5,75,59,26,18,2,"",3,"",41,4,"",1,38,76
"170",2,2,40,70,60,60,1,"",4,"",35,1,"",2,60,77
"173",1,6,90,10,90,10,2,"",1,"",36,5,"",1,20,78
"174",1,5,70,50,70,50,1,"",3,"",48,3,"",1,20,79
"175",1,4,5,96,0,95,1,"",3,"",53,4,"",1,40,80
"177",1,5,55,80,20,80,1,"",3,"",24,1,"",1,39,81
"179",2,3,10,80,16,81,1,"",3,"",36,4,"",1,10,82
"180",2,4,39,70,46,66,1,"",3,"",44,4,"",1,24,83
"183",2,3,32,59,73,65,1,"",3,"",18,1,"",1,81,84
"185",2,2,80,20,80,20,4,"Genderqueer",3,"",29,4,"",1,10,85
"188",2,2,86,69,49,82,1,"",3,"",39,3,"",1,14,86
"193",2,4,90,98,100,100,2,"",5,"",24,3,"",2,3,87
"197",1,4,0,100,1,100,2,"",3,"",32,3,"",1,90,88
"201",1,4,65,76,10,99,1,"",3,"",41,4,"",1,49,89
"205",1,4,30,100,30,100,1,"",4,"",22,1,"",1,0,90
"206",2,3,64,67,65,65,1,"",1,"",32,4,"",1,0,91
"208",1,5,100,0,100,0,1,"",3,"",51,4,"",1,10,92
"211",1,2,42,76,46,85,1,"",2,"",27,4,"",1,40,93
"214",2,4,60,51,61,52,2,"",7,"",60,4,"",1,30,94
"218",2,4,50,50,50,50,2,"",3,"",31,4,"",1,31,95
"219",2,4,30,70,30,70,1,"",3,"",26,4,"",1,70,96
"221",1,6,72,30,76,35,1,"",3,"",36,1,"",1,34,97
"223",2,4,100,100,100,100,2,"",5,"",45,7,"",1,30,98
"224",1,5,75,59,91,55,2,"",3,"",31,4,"",1,62,99
"225",1,5,64,89,66,85,2,"",3,"",25,1,"",2,16,100
"226",2,3,0,100,0,100,1,"",3,"",28,4,"",1,60,101
"227",2,6,100,0,100,0,1,"",3,"",35,7,"",1,51,102
"233",1,2,10,90,0,100,1,"",2,"",25,4,"",1,1,103
"234",2,4,51,80,51,80,1,"",3,"",39,1,"",1,21,104
"235",2,4,50,71,50,71,1,"",6,"",30,4,"",1,100,105
"239",1,6,100,100,100,100,2,"",6,"Native American",50,1,"",1,50,106
"242",1,4,50,90,20,75,1,"",2,"",19,3,"",2,21,107
"244",1,5,75,100,75,90,1,"",3,"",31,3,"",1,14,108
"246",1,4,68,70,82,77,1,"",2,"",33,3,"",1,65,109
"248",1,2,80,70,60,90,2,"",3,"",56,4,"",1,0,110
"250",2,4,100,98,100,100,2,"",3,"",65,7,"",1,2,111
"251",1,6,81,39,49,90,2,"",3,"",71,1,"",1,71,112
"254",2,4,30,70,30,70,1,"",1,"",50,4,"",1,10,113
"256",1,5,100,0,100,0,1,"",3,"",47,3,"",1,0,114
"258",1,6,15,85,15,85,1,"",3,"",50,4,"",1,60,115
"264",2,4,77,25,100,2,1,"",3,"",41,2,"",1,67,116
"265",1,5,29,68,31,73,2,"",3,"",35,5,"",2,37,117
"267",1,5,100,100,100,100,1,"",3,"",41,5,"",1,30,118
"271",2,4,31,72,31,71,2,"",2,"",30,4,"",1,25,119
"274",1,6,100,100,100,100,1,"",4,"",37,4,"",1,75,120
"280",1,6,90,75,90,70,2,"",1,"",28,4,"",1,3,121
"281",2,5,5,95,5,95,2,"",3,"",62,4,"",1,40,122
"282",1,4,92,10,87,14,1,"",3,"",23,3,"",1,44,123
"283",2,2,80,90,75,60,1,"",1,"",27,4,"",1,55,124
"285",1,5,100,0,100,0,1,"",3,"",34,3,"",1,5,125
"286",2,4,70,80,70,80,1,"",3,"",55,4,"",1,60,126
"287",1,3,100,100,100,100,2,"",3,"",32,4,"",1,19,127
"290",2,4,30,80,20,90,2,"",4,"",39,4,"",1,20,128
"291",1,6,70,70,70,50,1,"",1,"",45,2,"",1,40,129
"292",2,2,13,82,19,85,1,"",3,"",33,4,"",2,70,130
"293",1,5,60,40,45,65,1,"",3,"",23,4,"",1,61,131
"294",2,4,70,90,50,75,2,"",3,"",35,2,"",1,10,132
"295",1,5,100,0,100,0,1,"",3,"",28,1,"",1,15,133
"296",2,4,75,100,75,100,2,"",3,"",33,3,"",1,5,134
"297",2,4,30,85,10,90,1,"",3,"",61,3,"",1,70,135
"298",1,4,13,100,0,100,1,"",3,"",26,1,"",1,70,136
"300",1,4,77,62,76,61,1,"",1,"",36,5,"",1,35,137
"301",2,2,78,75,89,92,2,"",1,"",44,4,"",1,30,138
"304",1,4,71,64,65,71,1,"",1,"",27,1,"",1,90,139
"305",1,4,70,80,28,78,1,"",4,"",24,5,"",1,60,140
"307",2,4,75,75,40,80,1,"",2,"",19,3,"",1,30,141
"308",1,5,80,76,91,75,1,"",3,"",38,3,"",1,20,142
"309",2,2,0,100,0,100,1,"",3,"",38,3,"",1,0,143
"310",1,2,18,91,17,91,1,"",3,"",38,3,"",1,63,144
"313",2,2,73,72,80,70,1,"",3,"",30,5,"",1,40,145
"316",1,6,100,1,99,0,1,"",3,"",51,5,"",1,50,146
"319",2,4,0,100,0,100,1,"",2,"",28,7,"",1,25,147
"321",2,3,61,70,75,80,2,"",4,"",18,1,"",2,15,148
"324",2,5,69,72,20,51,1,"",3,"",46,1,"",2,20,149
"325",2,4,80,80,100,80,2,"",3,"",31,3,"",1,50,150
"326",1,6,100,0,100,0,1,"",4,"",24,1,"",2,40,151
"331",2,2,10,100,10,100,1,"",3,"",31,3,"",1,5,152
"333",1,6,100,20,100,36,1,"",3,"",28,5,"",2,35,153
"335",1,4,19,81,19,71,2,"",2,"",29,4,"",1,40,154
"336",2,5,80,80,70,80,1,"",2,"",34,3,"",1,60,155
"338",2,2,7,95,18,95,1,"",1,"",26,3,"",2,50,156
"339",1,5,90,100,0,100,2,"",3,"",41,1,"",1,10,157
"341",1,6,70,76,65,75,1,"",3,"",25,4,"",1,30,158
"342",2,5,86,67,99,68,1,"",3,"",34,5,"",1,61,159
"345",2,3,16,84,10,87,1,"",2,"",23,4,"",1,73,160
"347",2,5,51,51,51,51,1,"",3,"",35,2,"",1,17,161
"348",1,4,60,70,60,70,1,"",3,"",30,4,"",1,35,162
"350",1,5,100,100,100,90,1,"",3,"",27,4,"",1,30,163
"352",1,6,80,60,85,60,1,"",3,"",50,3,"",1,20,164
"355",1,4,60,80,60,80,2,"",2,"",38,5,"",1,30,165
"356",1,6,75,100,80,80,1,"",3,"",34,3,"",1,65,166
"359",2,2,60,100,60,100,1,"",3,"",42,4,"",1,60,167
"360",2,3,75,51,75,51,2,"",3,"",30,3,"",1,5,168
"361",2,5,20,100,20,100,2,"",3,"",29,4,"",1,30,169
"362",2,2,75,25,100,25,1,"",3,"",41,1,"",1,66,170
"363",2,2,65,80,30,90,2,"",3,"",41,4,"",2,10,171
"364",2,2,70,51,70,51,4,"Non-binary",5,"",22,3,"",1,80,172
"365",1,6,91,70,81,70,1,"",3,"",33,1,"",1,9,173
"366",2,4,100,100,0,100,2,"",2,"",33,4,"",2,0,174
"369",1,5,40,45,70,70,1,"",3,"",34,6,"",1,70,175
"372",1,6,86,60,85,58,1,"",3,"",21,1,"",2,0,176
"373",2,4,60,81,19,82,2,"",3,"",59,4,"",2,17,177
"374",2,2,50,50,100,100,1,"",5,"",56,3,"",1,51,178
"375",1,6,92,29,71,31,1,"",4,"",53,4,"",1,41,179
"376",1,4,70,85,65,90,1,"",3,"",33,1,"",1,10,180
"378",2,3,71,90,32,100,1,"",3,"",46,4,"",1,70,181
"379",1,6,70,90,70,90,4,"Non-Binary",3,"",26,3,"",1,61,182
"380",1,4,14,84,22,100,1,"",4,"",38,4,"",1,44,183
"381",2,5,100,20,100,61,1,"",4,"",32,1,"",2,40,184
"382",2,2,40,60,40,60,1,"",5,"",46,4,"",1,50,185
"384",2,6,100,0,100,0,1,"",3,"",27,4,"",1,60,186
"385",2,4,20,100,0,100,1,"",3,"",37,1,"",1,77,187
"386",2,4,60,85,60,63,1,"",3,"",35,4,"",1,60,188
"387",1,5,41,79,40,80,1,"",3,"",36,1,"",1,15,189
"388",1,5,25,50,75,25,1,"",3,"",42,3,"",1,60,190
"389",2,4,39,80,47,34,1,"",5,"",22,1,"",2,47,191
"390",1,2,81,62,66,91,1,"",3,"",24,3,"",1,26,192
"391",1,6,100,0,85,15,1,"",4,"",30,3,"",1,60,193
"392",2,5,10,90,10,90,1,"",3,"",45,1,"",1,60,194
"393",2,3,51,81,50,82,2,"",4,"",52,4,"",1,40,195
"398",1,4,64,75,64,89,1,"",2,"",23,4,"",2,18,196
"400",1,6,80,60,70,60,1,"",3,"",30,1,"",1,69,197
"401",2,2,75,76,90,61,2,"",2,"",41,3,"",1,30,198
"402",2,2,75,53,76,54,1,"",3,"",35,1,"",1,24,199
"404",1,5,90,90,90,90,1,"",3,"",52,4,"",1,10,200
"405",2,4,82,71,75,50,1,"",5,"",29,5,"",1,69,201
"407",2,3,51,51,72,100,1,"",5,"",35,4,"",1,4,202
"408",1,4,85,95,55,75,1,"",3,"",26,3,"",2,60,203
"409",1,6,92,49,51,93,2,"",3,"",27,4,"",1,35,204
"410",1,4,80,65,90,65,2,"",4,"",38,3,"",1,45,205
"413",2,4,75,100,5,100,1,"",3,"",36,5,"",1,40,206
"415",2,4,80,45,80,55,1,"",3,"",28,1,"",2,55,207
"417",1,4,90,10,85,25,2,"",1,"",56,7,"",1,50,208
"418",1,4,86,21,65,90,2,"",3,"",30,4,"",1,28,209
"420",1,4,73,65,61,55,1,"",2,"",25,3,"",1,40,210
"421",2,4,84,91,55,90,1,"",2,"",27,4,"",2,19,211
"422",2,2,33,66,32,66,1,"",2,"",29,5,"",1,39,212
"424",2,2,40,60,40,60,2,"",3,"",34,3,"",1,63,213
"425",1,5,80,20,75,50,1,"",3,"",31,3,"",1,40,214
"428",2,5,100,3,100,3,1,"",3,"",38,5,"",1,75,215
"429",1,5,92,35,91,25,2,"",3,"",45,2,"",1,59,216
"431",2,3,61,62,61,51,2,"",2,"",32,4,"",1,20,217
"433",2,6,53,53,53,52,1,"",3,"",85,5,"",1,23,218
"434",1,4,60,85,5,85,1,"",4,"",23,4,"",1,85,219
"435",1,6,77,28,80,17,1,"",3,"",60,3,"",1,65,220
"439",1,6,70,65,70,65,1,"",3,"",32,1,"",1,60,221
"440",2,2,10,91,10,90,1,"",4,"",20,3,"",1,60,222
"442",2,6,50,50,50,50,1,"",3,"",55,3,"",1,51,223
"446",1,5,75,40,75,40,1,"",3,"",57,3,"",1,34,224
"447",2,2,51,49,51,49,1,"",2,"",55,1,"",1,25,225
"450",1,6,85,40,92,25,2,"",3,"",58,3,"",1,60,226
"453",1,6,100,100,100,100,2,"",3,"",25,1,"",1,88,227
"454",2,5,100,0,100,0,2,"",3,"",38,4,"",1,73,228
"455",2,4,50,55,51,100,2,"",1,"",37,4,"",1,34,229
"458",2,4,39,70,43,63,1,"",3,"",58,1,"",1,52,230
"459",2,2,30,100,90,100,1,"",4,"",32,1,"",2,20,231
"460",1,6,100,0,100,0,2,"",1,"",51,2,"",1,0,232
"461",1,6,44,82,64,81,2,"",3,"",54,4,"",1,67,233
"463",1,5,65,80,45,85,1,"",3,"",20,3,"",1,25,234
"464",2,2,20,100,0,100,1,"",2,"",33,4,"",1,70,235
"465",1,6,100,100,100,100,2,"",1,"",37,4,"",1,70,236
"467",1,5,88,36,25,72,1,"",3,"",38,5,"",1,68,237
"468",2,4,72,63,76,69,1,"",3,"",54,3,"",1,39,238
"469",1,6,100,0,100,0,1,"",1,"",53,1,"",1,71,239
"472",1,4,55,90,35,90,1,"",3,"",26,3,"",1,60,240
"473",2,4,90,10,90,10,1,"",3,"",59,4,"",1,75,241
"475",1,4,92,43,90,44,2,"",5,"",40,1,"",1,7,242
"477",2,4,50,100,50,100,1,"",1,"",41,1,"",2,35,243
"478",1,3,71,94,81,99,2,"",2,"",38,4,"",1,61,244
"481",2,4,70,30,70,30,1,"",3,"",36,6,"",1,70,245
"483",2,5,71,80,60,70,1,"",1,"",22,4,"",1,60,246
"484",1,5,80,0,100,20,1,"",1,"",29,3,"",1,80,247
"486",2,6,100,100,98,100,2,"",3,"",42,6,"",1,60,248
"488",2,2,63,60,57,61,1,"",3,"",38,3,"",1,24,249
"489",2,3,40,81,50,80,1,"",1,"",33,3,"",1,15,250
"492",1,4,89,32,81,21,1,"",4,"",28,3,"",1,65,251
"493",2,2,50,50,50,50,1,"",3,"",60,4,"",1,31,252
"494",1,6,100,90,100,90,2,"",3,"",44,6,"",1,64,253
"495",2,4,100,100,72,100,2,"",3,"",36,1,"",2,0,254
"496",1,5,80,80,30,20,1,"",3,"",31,2,"",1,65,255
"498",1,5,37,84,16,80,2,"",3,"",31,4,"",1,27,256
"499",2,4,55,80,55,85,1,"",3,"",28,2,"",1,65,257
